APP-CSE 2025 FORM,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNUAL PROCUREMENT PLAN - COMMOM-USE SUPPLIES AND EQUIPMENT (APP-CSE) 2025 FORM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction:,,,,,,,,,,,,,,,,,,,,,,,,,,
"This form contains the common-use supplies and equipment (CSE) being carried by the Procurement Service – Department of Budget and Management (PS-DBM) that shall be purchased by government agencies. 
Consistent with the DBM Circular Letter Nos. 2011-6 and 2011-6-A dated 25 August 2011 and 28 September 2011, respectively, the APP-CSE shall serve as the agency’s annual procurement request for all its CSE requirements.
Only agencies with uploaded APP-CSE in the Modernized Philippine Government Electronic Procurement System (mPhilGEPS) will be able to purchase CSE from the PS-DBM.
Note that the items listed on this form have been arranged in accordance with the United Nations Standard Products and Services Code (UNSPSC).",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Reminders:,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,The APP-CSE form must be accomplished using Microsoft Excel format. The APP-CSE shall be deemed incorrect or invalid if the form used is other than the prescribed format which is downloadable from the mPhilGEPS and Downloads page of PS-DBM website (www.ps-philgeps.gov.ph).,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,All information must be provided accurately.,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,"Kindly refer to the CSE catalogue on the PS-DBM website (www.ps-philgeps.gov.ph) under the ""What We Sell"" tab for the detailed technical specifications and sample photo of the items.",,,,,,,,,,,,,,,,,,,,,,,,,
4.0,"Do not delete, add, or revise any items or rows on this form, otherwise the form will be deemed invalid.",,,,,,,,,,,,,,,,,,,,,,,,,
5.0,"For items not included on the list of PART II, a separate file, with the file name APP-CSE 2025 Form - Other Items, can be downloaded from the Downloads page of PS-DBM website (www.ps-philgeps.gov.ph) and must be submitted to PS-DBM through this link: https://shorturl.at/adeqO. Instructions on how to fill-out is included in the reminders of the form.",,,,,,,,,,,,,,,,,,,,,,,,,
6.0,"Once signed and approved by the Property/Supply Officer, Accountant/Budget Officer, and Head of the Agency/Office, kindly upload the soft copy of the APP-CSE in Microsoft Excel format as well as the original signed copy in Portable Document Format (PDF) to the agency's mPhilGEPS account on or before the prescribed period or deadline. Any APP-CSE form that is unsigned or has incomplete signature shall be deemed invalid.",,,,,,,,,,,,,,,,,,,,,,,,,
